experiment,model_type,hidden_size,num_layers,learning_rate,batch_size,best_val_f1,final_val_f1,final_val_acc
GRU_HighLR,GRU,64,1,0.01,64,0.8935370379655744,0.8935370379655744,0.8980418636056718
RNN_Base,RNN,64,1,0.001,64,0.7860075836122149,0.7860075836122149,0.8534773801485482
RNN_Large,RNN,128,2,0.001,64,0.7860075836122149,0.7860075836122149,0.8534773801485482
GRU_Base,GRU,64,1,0.001,64,0.7860075836122149,0.7860075836122149,0.8534773801485482
GRU_Large,GRU,128,2,0.001,64,0.7860075836122149,0.7860075836122149,0.8534773801485482
RNN_HighLR,RNN,64,1,0.01,64,0.7860075836122149,0.7860075836122149,0.8534773801485482
